trial, l_pos_x, l_pos_y, l_pos_z, l_pos_score, l_rot_x, l_rot_y, l_rot_z, l_rot_w, l_rot_score, r_pos_x, r_pos_y, r_pos_z, r_pos_score, r_rot_x, r_rot_y, r_rot_z, r_rot_w, r_rot_score, timestamp, score
4: place_key_mir_0_0_0, -0.09300391, 0.8489359, 0.07132666, 0.07, -0.1315505, 0.04500161, 0.007753756, 0.9902571, 0.22, 0.09737137, 0.8552884, 0.06338051, 0.08, -0.1178689, -0.05540121, -0.04720553, 0.9903582, 0.28, 0.5848094, 0.1625
4: place_key_mir_0_0_0, -0.09310561, 0.8557296, 0.07039291, 0.18, -0.1369373, 0.04122215, 0.00125228, 0.9897209, 0.2, 0.09669594, 0.8602806, 0.06273857, 0.14, -0.1218074, -0.05756515, -0.04932154, 0.9896548, 0.27, 0.5991547, 0.1975
4: place_key_mir_0_0_0, -0.09320793, 0.8616614, 0.07012898, 0.27, -0.1401524, 0.03724405, -0.005508056, 0.989414, 0.19, 0.09614112, 0.8643041, 0.06273511, 0.2, -0.1244455, -0.05854085, -0.05176969, 0.9891442, 0.26, 0.613005, 0.23
4: place_key_mir_0_0_0, -0.09341887, 0.8674945, 0.06965348, 0.34, -0.1455417, 0.03567031, -0.008879769, 0.988669, 0.18, 0.09559093, 0.8676559, 0.06316239, 0.24, -0.124896, -0.05761492, -0.05211476, 0.9891237, 0.27, 0.6272181, 0.2575
4: place_key_mir_0_0_0, -0.09382481, 0.8727714, 0.06942411, 0.39, -0.150717, 0.035677, -0.008181904, 0.9878991, 0.17, 0.0949695, 0.8705418, 0.06384243, 0.28, -0.1234939, -0.0554817, -0.05073839, 0.9894933, 0.28, 0.6410232, 0.28
4: place_key_mir_0_0_0, -0.09448528, 0.8772028, 0.06943507, 0.45, -0.1537927, 0.03703981, -0.003480371, 0.9874026, 0.17, 0.09439325, 0.8727256, 0.06475011, 0.32, -0.1216774, -0.05263228, -0.04924999, 0.989949, 0.29, 0.6548482, 0.3075
4: place_key_mir_0_0_0, -0.09503298, 0.8815126, 0.0693807, 0.44, -0.1566524, 0.03801794, 0.000503684, 0.9869218, 0.2, 0.09386925, 0.8746656, 0.06532367, 0.31, -0.1229727, -0.05238241, -0.04997832, 0.9897657, 0.32, 0.6686948, 0.3175
4: place_key_mir_0_0_0, -0.09549081, 0.8848684, 0.06969234, 0.47, -0.1570348, 0.03832089, 0.004139392, 0.9868407, 0.21, 0.09336638, 0.8764879, 0.06567027, 0.34, -0.1257139, -0.0536408, -0.05212354, 0.9892431, 0.31, 0.6826088, 0.3325
4: place_key_mir_0_0_0, -0.09579217, 0.8873054, 0.07028656, 0.49, -0.155747, 0.03825875, 0.006421553, 0.9870349, 0.22, 0.09283729, 0.8776475, 0.06610386, 0.35, -0.1281726, -0.05583364, -0.05416109, 0.9886966, 0.31, 0.6962862, 0.3425
4: place_key_mir_0_0_0, -0.09612645, 0.8896142, 0.07083659, 0.49, -0.1556933, 0.03760605, 0.007789627, 0.9870586, 0.23, 0.09227504, 0.8782452, 0.06683376, 0.34, -0.1280214, -0.05671961, -0.0547529, 0.988633, 0.32, 0.7103291, 0.345
4: place_key_mir_0_0_0, -0.09645452, 0.8909864, 0.07164767, 0.49, -0.1552556, 0.03503575, 0.007414372, 0.9872251, 0.23, 0.0919756, 0.8777768, 0.06756592, 0.32, -0.1262433, -0.05514629, -0.05320526, 0.9890353, 0.33, 0.7242252, 0.3425
4: place_key_mir_0_0_0, -0.09667047, 0.8918422, 0.07262917, 0.45, -0.1539505, 0.03026597, 0.004709167, 0.9876037, 0.25, 0.09135893, 0.8783733, 0.06884953, 0.27, -0.1249803, -0.05108288, -0.05060045, 0.9895504, 0.35, 0.7379133, 0.33
4: place_key_mir_0_0_0, -0.09676114, 0.8923807, 0.07349689, 0.45, -0.1535734, 0.02547827, 0.0005420079, 0.9878086, 0.26, 0.09123425, 0.8782898, 0.069711, 0.26, -0.1235746, -0.04662771, -0.04815704, 0.9900689, 0.36, 0.751924, 0.3325
4: place_key_mir_0_0_0, -0.09680188, 0.8928907, 0.07413878, 0.42, -0.1531716, 0.02128389, -0.003304293, 0.9879649, 0.27, 0.09121553, 0.8786877, 0.07015105, 0.23, -0.1229042, -0.04387863, -0.0477884, 0.9902957, 0.36, 0.7658138, 0.32
4: place_key_mir_0_0_0, -0.0967368, 0.8930941, 0.07442228, 0.39, -0.1527637, 0.01908316, -0.005373988, 0.988064, 0.28, 0.09139393, 0.8794913, 0.06992383, 0.19, -0.1237711, -0.04340059, -0.05029196, 0.9900848, 0.37, 0.7796409, 0.3075
4: place_key_mir_0_0_0, -0.0966164, 0.8935307, 0.07428962, 0.35, -0.1526651, 0.0198299, -0.00453851, 0.9880686, 0.3, 0.09159836, 0.8806825, 0.06904802, 0.14, -0.1263735, -0.04590777, -0.05529539, 0.9893759, 0.38, 0.7937056, 0.2925
4: place_key_mir_0_0_0, -0.096342, 0.8931884, 0.07360268, 0.28, -0.1523621, 0.0232299, -0.001940458, 0.9880499, 0.32, 0.09164326, 0.8819011, 0.06795031, 0.08, -0.1286639, -0.04993264, -0.060592, 0.9885753, 0.38, 0.8075766, 0.265
4: place_key_mir_0_0_0, -0.09569558, 0.8943846, 0.07270083, 0.24, -0.1513223, 0.02630945, -0.0002890183, 0.9881343, 0.32, 0.09146736, 0.8829353, 0.06709406, 0.04, -0.1294674, -0.05214855, -0.06336947, 0.9881818, 0.38, 0.8213979, 0.245
4: place_key_mir_0_0_0, -0.09458014, 0.8955369, 0.07113327, 0.19, -0.1517005, 0.0318848, 0.001159532, 0.9879115, 0.32, 0.0896956, 0.8876396, 0.06329903, 0, -0.1381445, -0.05471955, -0.05836682, 0.9871754, 0.35, 0.8354035, 0.215
4: place_key_mir_0_0_0, -0.09326956, 0.8963728, 0.06941378, 0.16, -0.1532762, 0.0364387, 0.0001267693, 0.9875114, 0.32, 0.0893413, 0.8904891, 0.06287692, 0.01, -0.1409166, -0.057399, -0.06081191, 0.9864835, 0.33, 0.8493852, 0.205
4: place_key_mir_0_0_0, -0.09208815, 0.8972929, 0.06786852, 0.12, -0.155774, 0.03871664, -0.002025349, 0.9870316, 0.31, 0.08888523, 0.8923182, 0.06336455, 0.01, -0.1409994, -0.05693465, -0.06084836, 0.9864964, 0.31, 0.8632622, 0.1875
4: place_key_mir_0_0_0, -0.09092705, 0.8983241, 0.06619287, 0.04, -0.159715, 0.03975206, -0.004651729, 0.9863515, 0.3, 0.08776733, 0.8965896, 0.06493919, 0.01, -0.1434735, -0.05764885, -0.05961533, 0.9861735, 0.29, 0.8767877, 0.16
4: place_key_mir_0_0_0, -0.0897956, 0.8994579, 0.06455788, 0, -0.1634155, 0.04183832, -0.006472798, 0.9856487, 0.29, 0.0870954, 0.8990921, 0.06586926, 0.04, -0.1463058, -0.05851163, -0.05722477, 0.9858481, 0.27, 0.8907521, 0.15
4: place_key_mir_0_0_0, -0.08241338, 0.920045, 0.06121124, 0, -0.1805469, 0.06038022, 0.0004838873, 0.9817111, 0.24, 0.0864587, 0.9015638, 0.06679519, 0.05, -0.1493174, -0.05951934, -0.05438107, 0.9854971, 0.27, 1.016418, 0.14
